text,label
এই টপিকটা সত্যি বলতে ঠিকই আছে,neutral
এই ব্লগটা সত্যি বলতে মনটা খারাপ করে দিল,sad
এই পোস্টটা শেষ পর্যন্ত খুব ভালো লাগলো,happy
এই খবরটা পুরোটা দেখে মনটা ভালো করে দিল,happy
এই পোস্টটা দেখার পর সবকিছু খুব ভারী লাগে,depression
এই গল্পটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression
ভিডিওটা আজ খুবই সুন্দর,happy
এই বিষয়টা আজকাল দেখলাম,neutral
আজকে সত্যি বলতে নোট করলাম,neutral
কমেন্টগুলো কমেন্ট পড়ার পর পড়লাম,neutral
এই পোস্টটা আজ মনটা খারাপ করে দিল,sad
এই পোস্টটা আজকাল খুবই সুন্দর,happy
আজকে শেষ পর্যন্ত দারুণ লেগেছে,happy
এই টপিকটা কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে,happy
এই ব্লগটা আজ কোনো আগ্রহ পাই না,depression
আজকের দিনটা সত্যি বলতে দারুণ লেগেছে,happy
এই টপিকটা আজকাল ঠিকই আছে,neutral
ভিডিওটা আজ মাঝামাঝি মনে হলো,neutral
এই গল্পটা সত্যি বলতে খুবই সুন্দর,happy
এই খবরটা পুরোটা দেখে ঠিকই আছে,neutral
এই বিষয়টা পুরোটা দেখে সবকিছু অর্থহীন লাগে,depression
এই গল্পটা ভাবতে বসে বুঝতে চেষ্টা করছি,neutral
আজকের দিনটা আজ খুবই দুঃখজনক,sad
কমেন্টগুলো আজকাল ভবিষ্যৎটা অন্ধকার লাগে,depression
এই বিষয়টা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression
ভিডিওটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral
এই ব্লগটা ভাবতে বসে খুবই দুঃখজনক,sad
ভিডিওটা সত্যি বলতে মনে হয় কেউ বোঝে না,depression
এই গল্পটা আজ নিজেকে খুব একা মনে হয়,depression
এই পোস্টটা আজ কিছু করতে ইচ্ছা করে না,depression
এই বিষয়টা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
আজকে শেষ পর্যন্ত মনটা ভালো করে দিল,happy
এই বিষয়টা শেষ পর্যন্ত সত্যিই উপভোগ করেছি,happy
কমেন্টগুলো শেষ পর্যন্ত দেখলাম,neutral
এই টপিকটা পুরোটা দেখে নোট করলাম,neutral
এই পোস্টটা ভাবতে বসে মনটা খারাপ করে দিল,sad
কমেন্টগুলো দেখার পর খারাপ না,neutral
এই গল্পটা দেখার পর পড়লাম,neutral
এই খবরটা কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে,depression
এই ব্লগটা আজ দুঃখ পেলাম,sad
আজকের দিনটা সত্যি বলতে মোটামুটি লাগলো,neutral
কমেন্টগুলো কমেন্ট পড়ার পর খুবই সুন্দর,happy
আজকের দিনটা শেষ পর্যন্ত খুবই দুঃখজনক,sad
এই ব্লগটা সত্যি বলতে মনে হয় কেউ বোঝে না,depression
এই ব্লগটা সত্যি বলতে কিছু করতে ইচ্ছা করে না,depression
এই ব্লগটা দেখার পর খুবই দুঃখজনক,sad
আজকের দিনটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad
ভিডিওটা দেখার পর ভীষণ পছন্দ হয়েছে,happy
কমেন্টগুলো দেখার পর ভবিষ্যৎটা অন্ধকার লাগে,depression
এই টপিকটা দেখার পর খারাপ না,neutral
এই গল্পটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression
এই পোস্টটা আজ কিছুই ভালো লাগে না,depression
কমেন্টগুলো শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression
আজকের দিনটা পুরোটা দেখে ঠিক আছে,neutral
এই বিষয়টা পুরোটা দেখে অসাধারণ হয়েছে,happy
এই গল্পটা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression
কমেন্টগুলো কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy
কমেন্টগুলো দেখার পর মনে হয় কেউ বোঝে না,depression
এই ব্লগটা আজকাল অনেক আনন্দ দিল,happy
ভিডিওটা দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
এই টপিকটা পুরোটা দেখে পড়লাম,neutral
ভিডিওটা আজ পড়লাম,neutral
এই খবরটা শেষ পর্যন্ত মাঝামাঝি মনে হলো,neutral
এই খবরটা আজ অসাধারণ হয়েছে,happy
আজকের দিনটা আজকাল খারাপ লাগছে,sad
এই পোস্টটা কমেন্ট পড়ার পর মনে হয় কেউ বোঝে না,depression
এই গল্পটা ভাবতে বসে মনটা খারাপ করে দিল,sad
এই পোস্টটা সত্যি বলতে বুঝতে চেষ্টা করছি,neutral
ভিডিওটা আজকাল দুঃখ পেলাম,sad
আজকে দেখার পর কোনো আগ্রহ পাই না,depression
আজকের দিনটা সত্যি বলতে সত্যিই উপভোগ করেছি,happy
এই ব্লগটা ভাবতে বসে নোট করলাম,neutral
এই খবরটা দেখার পর অসাধারণ হয়েছে,happy
এই গল্পটা শেষ পর্যন্ত দুঃখ পেলাম,sad
আজকে পুরোটা দেখে মনটা ভালো করে দিল,happy
