text,label,clean_text
এই টপিকটা সত্যি বলতে ঠিকই আছে,neutral,এই টপিকটা সত্যি বলতে ঠিকই আছে
এই ব্লগটা সত্যি বলতে মনটা খারাপ করে দিল,sad,এই ব্লগটা সত্যি বলতে মনটা খারাপ করে দিল
এই পোস্টটা শেষ পর্যন্ত খুব ভালো লাগলো,happy,এই পোস্টটা শেষ পর্যন্ত খুব ভালো লাগলো
এই খবরটা পুরোটা দেখে মনটা ভালো করে দিল,happy,এই খবরটা পুরোটা দেখে মনটা ভালো করে দিল
এই পোস্টটা দেখার পর সবকিছু খুব ভারী লাগে,depression,এই পোস্টটা দেখার পর সবকিছু খুব ভারী লাগে
এই গল্পটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression,এই গল্পটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে
ভিডিওটা আজ খুবই সুন্দর,happy,ভিডিওটা আজ খুবই সুন্দর
এই বিষয়টা আজকাল দেখলাম,neutral,এই বিষয়টা আজকাল দেখলাম
আজকে সত্যি বলতে নোট করলাম,neutral,আজকে সত্যি বলতে নোট করলাম
কমেন্টগুলো কমেন্ট পড়ার পর পড়লাম,neutral,কমেন্টগুলো কমেন্ট পড়ার পর পড়লাম
এই পোস্টটা আজ মনটা খারাপ করে দিল,sad,এই পোস্টটা আজ মনটা খারাপ করে দিল
এই পোস্টটা আজকাল খুবই সুন্দর,happy,এই পোস্টটা আজকাল খুবই সুন্দর
আজকে শেষ পর্যন্ত দারুণ লেগেছে,happy,আজকে শেষ পর্যন্ত দারুণ লেগেছে
এই টপিকটা কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে,happy,এই টপিকটা কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে
এই ব্লগটা আজ কোনো আগ্রহ পাই না,depression,এই ব্লগটা আজ কোনো আগ্রহ পাই না
আজকের দিনটা সত্যি বলতে দারুণ লেগেছে,happy,আজকের দিনটা সত্যি বলতে দারুণ লেগেছে
এই টপিকটা আজকাল ঠিকই আছে,neutral,এই টপিকটা আজকাল ঠিকই আছে
ভিডিওটা আজ মাঝামাঝি মনে হলো,neutral,ভিডিওটা আজ মাঝামাঝি মনে হলো
এই গল্পটা সত্যি বলতে খুবই সুন্দর,happy,এই গল্পটা সত্যি বলতে খুবই সুন্দর
এই খবরটা পুরোটা দেখে ঠিকই আছে,neutral,এই খবরটা পুরোটা দেখে ঠিকই আছে
এই বিষয়টা পুরোটা দেখে সবকিছু অর্থহীন লাগে,depression,এই বিষয়টা পুরোটা দেখে সবকিছু অর্থহীন লাগে
এই গল্পটা ভাবতে বসে বুঝতে চেষ্টা করছি,neutral,এই গল্পটা ভাবতে বসে বুঝতে চেষ্টা করছি
আজকের দিনটা আজ খুবই দুঃখজনক,sad,আজকের দিনটা আজ খুবই দুঃখজনক
কমেন্টগুলো আজকাল ভবিষ্যৎটা অন্ধকার লাগে,depression,কমেন্টগুলো আজকাল ভবিষ্যৎটা অন্ধকার লাগে
এই বিষয়টা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression,এই বিষয়টা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে
ভিডিওটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral,ভিডিওটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি
এই ব্লগটা ভাবতে বসে খুবই দুঃখজনক,sad,এই ব্লগটা ভাবতে বসে খুবই দুঃখজনক
ভিডিওটা সত্যি বলতে মনে হয় কেউ বোঝে না,depression,ভিডিওটা সত্যি বলতে মনে হয় কেউ বোঝে না
এই গল্পটা আজ নিজেকে খুব একা মনে হয়,depression,এই গল্পটা আজ নিজেকে খুব একা মনে হয়
এই পোস্টটা আজ কিছু করতে ইচ্ছা করে না,depression,এই পোস্টটা আজ কিছু করতে ইচ্ছা করে না
এই বিষয়টা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই বিষয়টা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে
আজকে শেষ পর্যন্ত মনটা ভালো করে দিল,happy,আজকে শেষ পর্যন্ত মনটা ভালো করে দিল
এই বিষয়টা শেষ পর্যন্ত সত্যিই উপভোগ করেছি,happy,এই বিষয়টা শেষ পর্যন্ত সত্যিই উপভোগ করেছি
কমেন্টগুলো শেষ পর্যন্ত দেখলাম,neutral,কমেন্টগুলো শেষ পর্যন্ত দেখলাম
এই টপিকটা পুরোটা দেখে নোট করলাম,neutral,এই টপিকটা পুরোটা দেখে নোট করলাম
এই পোস্টটা ভাবতে বসে মনটা খারাপ করে দিল,sad,এই পোস্টটা ভাবতে বসে মনটা খারাপ করে দিল
কমেন্টগুলো দেখার পর খারাপ না,neutral,কমেন্টগুলো দেখার পর খারাপ না
এই গল্পটা দেখার পর পড়লাম,neutral,এই গল্পটা দেখার পর পড়লাম
এই খবরটা কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে,depression,এই খবরটা কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে
এই ব্লগটা আজ দুঃখ পেলাম,sad,এই ব্লগটা আজ দুঃখ পেলাম
আজকের দিনটা সত্যি বলতে মোটামুটি লাগলো,neutral,আজকের দিনটা সত্যি বলতে মোটামুটি লাগলো
কমেন্টগুলো কমেন্ট পড়ার পর খুবই সুন্দর,happy,কমেন্টগুলো কমেন্ট পড়ার পর খুবই সুন্দর
আজকের দিনটা শেষ পর্যন্ত খুবই দুঃখজনক,sad,আজকের দিনটা শেষ পর্যন্ত খুবই দুঃখজনক
এই ব্লগটা সত্যি বলতে মনে হয় কেউ বোঝে না,depression,এই ব্লগটা সত্যি বলতে মনে হয় কেউ বোঝে না
এই ব্লগটা সত্যি বলতে কিছু করতে ইচ্ছা করে না,depression,এই ব্লগটা সত্যি বলতে কিছু করতে ইচ্ছা করে না
এই ব্লগটা দেখার পর খুবই দুঃখজনক,sad,এই ব্লগটা দেখার পর খুবই দুঃখজনক
আজকের দিনটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad,আজকের দিনটা সত্যি বলতে মনটা ভারী হয়ে গেল
ভিডিওটা দেখার পর ভীষণ পছন্দ হয়েছে,happy,ভিডিওটা দেখার পর ভীষণ পছন্দ হয়েছে
কমেন্টগুলো দেখার পর ভবিষ্যৎটা অন্ধকার লাগে,depression,কমেন্টগুলো দেখার পর ভবিষ্যৎটা অন্ধকার লাগে
এই টপিকটা দেখার পর খারাপ না,neutral,এই টপিকটা দেখার পর খারাপ না
এই গল্পটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression,এই গল্পটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না
এই পোস্টটা আজ কিছুই ভালো লাগে না,depression,এই পোস্টটা আজ কিছুই ভালো লাগে না
কমেন্টগুলো শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression,কমেন্টগুলো শেষ পর্যন্ত কোনো আগ্রহ পাই না
আজকের দিনটা পুরোটা দেখে ঠিক আছে,neutral,আজকের দিনটা পুরোটা দেখে ঠিক আছে
এই বিষয়টা পুরোটা দেখে অসাধারণ হয়েছে,happy,এই বিষয়টা পুরোটা দেখে অসাধারণ হয়েছে
এই গল্পটা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression,এই গল্পটা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে
কমেন্টগুলো কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy,কমেন্টগুলো কমেন্ট পড়ার পর অসাধারণ হয়েছে
কমেন্টগুলো দেখার পর মনে হয় কেউ বোঝে না,depression,কমেন্টগুলো দেখার পর মনে হয় কেউ বোঝে না
এই ব্লগটা আজকাল অনেক আনন্দ দিল,happy,এই ব্লগটা আজকাল অনেক আনন্দ দিল
ভিডিওটা দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,ভিডিওটা দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই টপিকটা পুরোটা দেখে পড়লাম,neutral,এই টপিকটা পুরোটা দেখে পড়লাম
ভিডিওটা আজ পড়লাম,neutral,ভিডিওটা আজ পড়লাম
এই খবরটা শেষ পর্যন্ত মাঝামাঝি মনে হলো,neutral,এই খবরটা শেষ পর্যন্ত মাঝামাঝি মনে হলো
এই খবরটা আজ অসাধারণ হয়েছে,happy,এই খবরটা আজ অসাধারণ হয়েছে
